Property	Expected Type	Description	Type	Type URL	BSC Description	Marginality	Cardinality	Controlled Vocabulary	Example
additionalType	URL	An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally.	external	http://security.polito.it/ontology/	The additional type is defined at http://security.polito.it/ontology/	Optional	ONE	https://github.com/Vocamp/computationalEnvironmentODP/blob/master/data/ComputationalEnvironment.rdf	
alternateName	Text	An alias for the item.				Recommended	MANY		
description	Text	A description of the item.			A description of the virtualization technology	Minimum	ONE		
disambiguatingDescription	Text	A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation.							
identifier	PropertyValue or  Text or  URL	The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See [background notes](http://schema.org/docs/datamodel.html#identifierBg) for more details.			An identifier for the virtualization technology.	Recommended	ONE		
image	ImageObject or  URL	An image of the item. This can be a URL or a fully described ImageObject.							
mainEntityOfPage	CreativeWork or  URL	Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notes for details. Inverse property: mainEntity.							
name	Text	The name of the item.			The name of the virtualization technology	Minimum	ONE		
potentialAction	Action	Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role.							
sameAs	URL	URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.							
subjectOf	CreativeWork or  Event	A CreativeWork or Event about this Thing.. Inverse property: about.							
url	URL	URL of the item.			A url associated with the virtualization technology.	Minimum	ONE		